token	corpus size	all contexts size	frequency	co-frequency	specificity
écrits	169267	29402	5	3	1.45
réside	169267	29402	5	3	1.45
générateur	169267	29402	5	3	1.45
faciles	169267	29402	5	3	1.45
métaphore	169267	29402	5	3	1.45
voilÃ	169267	29402	5	3	1.45
azur	169267	29402	5	3	1.45
avancer	169267	29402	5	3	1.45
noirs	169267	29402	5	3	1.45
moitié	169267	29402	5	3	1.45
derrière	169267	29402	5	3	1.45
voie	169267	29402	5	3	1.45
étaient	169267	29402	5	3	1.45
Luke	169267	29402	5	3	1.45
poème	169267	29402	5	3	1.45
Giovanna	169267	29402	5	3	1.45
Actualité	169267	29402	5	3	1.45
rare	169267	29402	5	3	1.45
fiable	169267	29402	5	3	1.45
indique	169267	29402	5	3	1.45
montrent	169267	29402	5	3	1.45
relation	169267	29402	5	3	1.45
tropicales	169267	29402	5	3	1.45
Messages	169267	29402	5	3	1.45
modeles	169267	29402	5	3	1.45
Arc	169267	29402	5	3	1.45
Cirrus	169267	29402	5	3	1.45
écrivain	169267	29402	5	3	1.45
réussir	169267	29402	5	3	1.45
évoluer	169267	29402	5	3	1.45
fiches	169267	29402	5	3	1.45
géniteurs	169267	29402	5	3	1.45
propriété	169267	29402	5	3	1.45
fonctionnement	169267	29402	21	7	1.42
Comme	169267	29402	21	7	1.42
liés	169267	29402	21	7	1.42
“uvre	169267	29402	35	10	1.41
4	169267	29402	174	36	1.40
publics	169267	29402	40	11	1.40
elles	169267	29402	45	12	1.40
public	169267	29402	71	17	1.38
régions	169267	29402	17	6	1.38
trois	169267	29402	26	8	1.38
concurrence	169267	29402	26	8	1.38
vous	169267	29402	274	53	1.37
au	169267	29402	400	74	1.37
y	169267	29402	77	18	1.36
présentations	169267	29402	9	4	1.35
clefs	169267	29402	9	4	1.35
Alors	169267	29402	9	4	1.35
êtes	169267	29402	9	4	1.35
tailles	169267	29402	9	4	1.35
yeux	169267	29402	9	4	1.35
mercredi	169267	29402	9	4	1.35
Organisation	169267	29402	9	4	1.35
développé	169267	29402	9	4	1.35
ensembles	169267	29402	13	5	1.35
poésie	169267	29402	13	5	1.35
défis	169267	29402	13	5	1.35
petites	169267	29402	13	5	1.35
shareArticle	169267	29402	13	5	1.35
AWS	169267	29402	13	5	1.35
distants	169267	29402	13	5	1.35
uri	169267	29402	51	13	1.35
blog	169267	29402	270	52	1.35
pluie	169267	29402	41	11	1.35
termes	169267	29402	22	7	1.33
20pi	169267	29402	22	7	1.33
pratiques	169267	29402	27	8	1.31
seront	169267	29402	27	8	1.31
Ils	169267	29402	27	8	1.31
cas	169267	29402	42	11	1.30
lequel	169267	29402	18	6	1.29
Pourquoi	169267	29402	18	6	1.29
autour	169267	29402	18	6	1.29
observations	169267	29402	18	6	1.29
aérosols	169267	29402	18	6	1.29
mouvement	169267	29402	18	6	1.29
C3	169267	29402	136	28	1.28
1	169267	29402	319	58	1.27
déploiement	169267	29402	23	7	1.26
media	169267	29402	28	8	1.25
Temps	169267	29402	14	5	1.25
script	169267	29402	14	5	1.25
ceux	169267	29402	14	5	1.25
gros	169267	29402	14	5	1.25
lumière	169267	29402	14	5	1.25
transforme	169267	29402	14	5	1.25
vos	169267	29402	127	26	1.24
sûr	169267	29402	6	3	1.23
affiche	169267	29402	6	3	1.23
Définition	169267	29402	6	3	1.23
précise	169267	29402	6	3	1.23
existants	169267	29402	6	3	1.23
transformations	169267	29402	6	3	1.23
davantage	169267	29402	6	3	1.23
Certains	169267	29402	6	3	1.23
suivants	169267	29402	6	3	1.23
voulez	169267	29402	6	3	1.23
icon	169267	29402	6	3	1.23
avion	169267	29402	6	3	1.23
étoiles	169267	29402	6	3	1.23
tomber	169267	29402	6	3	1.23
classique	169267	29402	6	3	1.23
vérité	169267	29402	6	3	1.23
hauts	169267	29402	6	3	1.23
Camarupa	169267	29402	6	3	1.23
jeu	169267	29402	6	3	1.23
aspects	169267	29402	6	3	1.23
distinguer	169267	29402	6	3	1.23
principalement	169267	29402	6	3	1.23
lidar	169267	29402	6	3	1.23
circulations	169267	29402	6	3	1.23
emplacement	169267	29402	6	3	1.23
précision	169267	29402	6	3	1.23
hémisphère	169267	29402	6	3	1.23
convectifs	169267	29402	6	3	1.23
provoque	169267	29402	6	3	1.23
états	169267	29402	6	3	1.23
auprès	169267	29402	6	3	1.23
jetpack	169267	29402	6	3	1.23
obligations	169267	29402	6	3	1.23
Système	169267	29402	6	3	1.23
Baptiste	169267	29402	6	3	1.23
avoirs	169267	29402	6	3	1.23
aws	169267	29402	6	3	1.23
aperçu	169267	29402	10	4	1.22
uniquement	169267	29402	10	4	1.22
ajouter	169267	29402	10	4	1.22
2008	169267	29402	10	4	1.22
38569	169267	29402	10	4	1.22
européens	169267	29402	10	4	1.22
Génon	169267	29402	10	4	1.22
journée	169267	29402	10	4	1.22
juridique	169267	29402	10	4	1.22
Principaux	169267	29402	10	4	1.22
générative	169267	29402	10	4	1.22
basés	169267	29402	10	4	1.22
décision	169267	29402	10	4	1.22
depuis	169267	29402	44	11	1.21
temps	169267	29402	111	23	1.21
nom	169267	29402	19	6	1.20
création	169267	29402	19	6	1.20
généralement	169267	29402	19	6	1.20
avait	169267	29402	19	6	1.20
image	169267	29402	34	9	1.19
hydrométéores	169267	29402	34	9	1.19
grand	169267	29402	24	7	1.19
selon	169267	29402	24	7	1.19
Terre	169267	29402	24	7	1.19
innovation	169267	29402	24	7	1.19
Acumatica	169267	29402	24	7	1.19
aide	169267	29402	29	8	1.19
Autorité	169267	29402	29	8	1.19
sans	169267	29402	95	20	1.19
3	169267	29402	228	41	1.18
outils	169267	29402	84	18	1.17
Ces	169267	29402	45	11	1.17
cette	169267	29402	96	20	1.17
Une	169267	29402	73	16	1.16
Voici	169267	29402	15	5	1.15
explique	169267	29402	15	5	1.15
complexes	169267	29402	15	5	1.15
mini	169267	29402	15	5	1.15
matière	169267	29402	35	9	1.15
plateformes	169267	29402	35	9	1.15
ici	169267	29402	57	13	1.14
résultats	169267	29402	30	8	1.14
système	169267	29402	30	8	1.14
cours	169267	29402	20	6	1.13
lien	169267	29402	20	6	1.13
physiques	169267	29402	20	6	1.13
votre	169267	29402	161	30	1.13
aime	169267	29402	25	7	1.13
grÃ¢ce	169267	29402	25	7	1.13
reconnaissent	169267	29402	3	2	1.13
contemplation	169267	29402	3	2	1.13
reconnaître	169267	29402	3	2	1.13
ressortent	169267	29402	3	2	1.13
synthétique	169267	29402	3	2	1.13
analysant	169267	29402	3	2	1.13
groupes	169267	29402	3	2	1.13
résumé	169267	29402	3	2	1.13
native	169267	29402	3	2	1.13
génère	169267	29402	3	2	1.13
détaillée	169267	29402	3	2	1.13
complémentaires	169267	29402	3	2	1.13
excellente	169267	29402	3	2	1.13
Dundas	169267	29402	3	2	1.13
utiliserons	169267	29402	3	2	1.13
conteneur	169267	29402	3	2	1.13
montrant	169267	29402	3	2	1.13
paramètres	169267	29402	3	2	1.13
auquel	169267	29402	3	2	1.13
créant	169267	29402	3	2	1.13
inventaire	169267	29402	3	2	1.13
manipulation	169267	29402	3	2	1.13
Parmi	169267	29402	3	2	1.13
WordArt	169267	29402	3	2	1.13
Ã‰tapes	169267	29402	3	2	1.13
satisfait	169267	29402	3	2	1.13
variées	169267	29402	3	2	1.13
Allez	169267	29402	3	2	1.13
intégrer	169267	29402	3	2	1.13
rivages	169267	29402	3	2	1.13
poussent	169267	29402	3	2	1.13
contours	169267	29402	3	2	1.13
averses	169267	29402	3	2	1.13
crois	169267	29402	3	2	1.13
oiseaux	169267	29402	3	2	1.13
Re	169267	29402	3	2	1.13
aimes	169267	29402	3	2	1.13
extraordinaire	169267	29402	3	2	1.13
là	169267	29402	3	2	1.13
V	169267	29402	3	2	1.13
Go	169267	29402	3	2	1.13
sortes	169267	29402	3	2	1.13
typologies	169267	29402	3	2	1.13
rassemblement	169267	29402	3	2	1.13
1815	169267	29402	3	2	1.13
indienne	169267	29402	3	2	1.13
honneur	169267	29402	3	2	1.13
dessins	169267	29402	3	2	1.13
exercices	169267	29402	3	2	1.13
empirique	169267	29402	3	2	1.13
dispersion	169267	29402	3	2	1.13
In	169267	29402	3	2	1.13
nues	169267	29402	3	2	1.13
